ICAO,Name,City,Elevation,Longitude,Latitude
00AK,Lowell Field,Anchor Point,252,-151.6924744,59.94773102
00AL,Epps Airpark,Harvest,820,-86.76956177,34.86470032
00AS,Fulton,Ninnekah,1100,-97.81806183,34.94256973
00C,Animas Air Park,Durango,6655,-107.8692017,37.20318604
00CA,Goldstone /Gts/,Barstow,3038,-116.8853912,35.3547821
00CL,Williams Ag,Sacramento,87,-121.7634583,39.42599869
00CO,Cass Field,Briggsdale,4826,-104.3406982,40.61818695
00F,Broadus,,3272,-105.4571533,45.47047424
00FA,Grass Patch,Bushnell,53,-82.21855164,28.64559174
00FD,Davis Field,,1184,-96.96047974,37.25502396
00FL,River Oak,Okeechobee,35,-80.97093964,27.2322979
00GA,Lt World,Lithonia,700,-84.06787109,33.76747894
00KS,Hayden Farm,Gardner,1100,-94.93080902,38.72741699
00KY,Robbins Roost,Stanford,1265,-84.61884308,37.40979385
00LS,Lejeune,Crowley,12,-92.42973328,30.13601303
00M,Thigpen Field,Bay Springs,344,-89.23525238,31.9537735
00MD,Slater Fld,Federalsburg,45,-75.75283813,38.75619888
00MN,Battle Lake Muni,Battle Lake,1365,-95.70032501,46.30628967
00N,Bucks,Bridgeton,103,-75.18439484,39.4730835
00NC,North Raleigh,Louisburg,348,-78.37130737,36.08507919
00OH,Exit 3,Wauseon,781,-84.1404953,41.59062195
00OK,Gull Bay Landing Airport,Sand Springs,960,-96.21765137,36.19847107
00R,Livingston Muni,Livingston,150,-95.01789093,30.68584633
00S,Mc Kenzie Bridge State,McKenzie Bridge,1621,-122.0856628,44.18152618
00SC,Flying O,Sumter,150,-80.27243042,34.01039886
00U,Big Horn Co,,3015,-107.6603851,45.74438477
00UT,Clear Creek Ranch,Kanab,6102,-112.8223648,37.247509
00VA,Vaughan,South Boston,551,-78.99837494,36.57522583
00VI,Groundhog Mountain,Hillsville,2680,-80.49963379,36.66338348
00W,Lower Granite State,Colfax,686,-117.4415436,46.67261505
00WA,Howell,Longbranch,150,-122.7710648,47.17812347
00XA,Weeski Ranch,,271,-96.01415253,30.22409821
00XS,L P Askew Farms,O'Donnell,3102,-101.9213333,33.03135681
01AL,Ware Island,Clanton,344,-86.51422119,32.94583893
01C,Grant,Grant,810,-85.77342224,43.34327698
01CL,Swansboro Country,Placerville,2594,-120.7355042,38.79906464
01FA,Rybolt Ranch,Orlando,55,-81.14335632,28.59062386
01FL,Cedar Knoll Flying Ranch,Geneva,19,-81.15917969,28.78110313
01G,Perry-Warsaw,Perry,1549,-78.05166626,42.74134827
01GE,The Farm,Wrightsville,375,-82.7716217,32.67518616
01ID,Lava Hot Springs,Lava Hot Springs,5268,-112.0326691,42.60732269
01II,Myers Field,Lizton,959,-86.52596283,39.87753296
01J,Hilliard Airpark,Hilliard,56,-81.90634155,30.68567276
01K,Caldwell Muni,Caldwell,1146,-97.58541107,37.03641129
01KS,Flying N Ranch,Lost Springs,1476,-97.00352478,38.54023361
01LL,Schumaier Rla,Pinckneyville,549,-89.46393585,38.12667084
01LS,Country Breeze,Slaughter,125,-91.07749176,30.7224865
01M,Tishomingo County,Belmont,578,-88.2011795,34.49182129
01MT,Crystal Lakes Resort,Fortine,3141,-114.8828354,48.79285431
01NC,Topsail Airpark,Holly Ridge,65,-77.58076477,34.47546005
01NE,Detour,Wellfleet,3000,-100.6515198,40.84383011
01NH,Moore Airfield,Enfield,835,-72.08691406,43.64445877
01NK,Granville,Granville,420,-73.26822662,43.42289734
01NM,Champion Ranch,Artesia,3630,-104.5407791,33.00767136
01OH,Gillmor,Fremont,663,-83.1484375,41.28403091
01SC,York,York,779,-81.25273132,35.03118515
01TE,Smith Field,Forney,505,-96.42832947,32.73653793
01TN,Colonial Air Park,Collierville,370,-89.73164368,34.99516678
01TS,Fort Parker Flying Field,Groesbeck,500,-96.54616547,31.56520844
01TX,Mims Farm,Waxahachie,610,-96.87736511,32.3882103
01U,Duckwater,Duckwater,5117,-115.7097092,38.94649506
01UT,La Sal Junction,La Sal,6000,-109.3976135,38.30909348
01V,Aurora Airpark,Aurora,5663,-104.6546631,39.73277283
01VA,Oehda,Berryville,500,-77.92528534,39.12488937
01WI,Prehn Cranberry Company,Tomah,930,-90.38981628,44.00959015
01WY,Keyhole,Moorcroft,4250,-104.8091125,44.3467598
02A,Chilton County,Clanton,576,-86.61141968,32.85049438
02AK,Rustic Wilderness,Willow,190,-150.0975494,61.87720871
02AL,Bass Field,Foley,61,-87.76540375,30.37537384
02AR,Mount Comfort Airpark,Fayetteville,400,-93.69622803,34.11745453
02C,Capitol,Brookfield,833,-88.179039,43.09001541
02CD,Shannon Field,Clarksdale,165,-90.52295685,34.12895584
02CL,Conover Air Lodge,Frazier Park,5160,-119.0588684,34.76129532
02CO,McCullough,Monte Vista,7615,-106.0473251,37.64323425
02FA,Osborn Airfield,Groveland,121,-81.87481689,28.52744484
02G,Columbiana Co,East Liverpool,1151,-80.64139557,40.6733284
02GA,Doug Bolton Field,Commerce,884,-83.42891693,34.20263672
02GE,Etowah Fields,Euharlee,710,-84.92450714,34.17546844
02ID,Morgan Ranch,Cascade,5634,-115.3050766,44.55333328
02II,King,Westfield,925,-86.21046448,40.06203461
02IN,Diamond P. Field,Muncie,904,-85.54034424,40.20888901
02K,Arrowhead,St Louis,442,-90.52017975,38.69659424
02KS,Jmj Landing,St Marys,1170,-96.05847931,39.22282791
02ME,Old Acton Airfield,Acton,700,-70.9303894,43.53744125
02MI,Fairplains Airpark,Greenville,850,-85.14903259,43.15701294
02MO,Troy Airpark,Troy,624,-91.02806854,39.04627609
02MS,Watts Field,Rochdale,153,-90.83958435,34.09115219
02MT,Barrett Field,Cascade,3350,-111.7177582,47.26744843
02MU,Timber Line Airpark,Cassville,1533,-93.80234528,36.65565872
02ND,Dresden Field,Dresden,1574,-98.52372742,48.80844879
02NE,Benes Service,Valparaiso,1548,-96.90202332,41.07367706
02NV,Paiute Meadows,Winnemucca,4443,-118.9265671,41.29948044
02OR,Rowena Dell,The Dalles,800,-121.3191833,45.68171692
02PR,Cuylers,Vega Baja,15,-66.3633194,18.46549034
02PS,Hughes,Tioga,1655,-77.2300415,41.90232468
02SC,Harpers,Estill,111,-81.22579956,32.7603569
02T,Wise River,Wise River,5804,-112.9803696,45.77013016
02TN,Ellis Field,Murfreesboro,840,-86.58503723,35.78027344
02TS,El Tesoro Ranch,Charlotte,334,-98.72276306,28.66358376
02TX,Grand Valley Lands,Rio Vista,660,-97.40050507,32.23418808
02UT,Lucin,Lucin,4412,-113.8388367,41.36660767
02VA,The Greenhouse,Culpeper,320,-77.85725403,38.43538284
02WA,Cawleys South Prairie,South Prairie,690,-122.0930862,47.15237808
02WI,Beer,Hudson,920,-92.6556778,45.03204727
02WN,Fowler Fld,Tonasket,2150,-119.3195953,48.74738312
02XS,Seidel Ranch,Elroy,510,-97.662323,30.14716339
02Y,Greenbush Mun,Greenbush,1070,-96.19084167,48.68619537
03AZ,Thompson Intl Aviation,Hereford,4275,-110.0877991,31.43096924
03B,Mansfield Muni,Mansfield,1513,-92.62162781,37.12685013
03CO,Kugel-Strong,Platteville,4950,-104.742836,40.20980453
03D,Memphis Memorial,Memphis,809,-92.22693634,40.44726944
03FA,Lake Persimmon Airstrip,Lake Placid,70,-81.41107941,27.35448074
03FD,Tharpe,Bonifay,133,-85.73155212,30.82880783
03G,Thermal-G,Erie,1428,-80.07073212,42.02062988
03GA,Young's,Sumner,385,-83.72290802,31.58630371
03I,Clarks Dream Strip,Circleville,681,-83.01763916,39.64380264
03IA,East Field,Montezuma,954,-92.46455383,41.58205795
03ID,Flying Y Ranch,Council,3180,-116.5317764,44.79430389
03II,Davis Field,Mount Vernon,465,-87.77882385,37.96265793
03IL,Wix,Monee,750,-87.81607056,41.40198517
03IN,Heinzman,Arcadia,857,-86.0125885,40.18019867
03KY,Flying H Farms,Henderson,385,-87.53852081,37.7962265
03MA,Hadley,Hadley,150,-72.55166626,42.39343643
03ME,Maple Ridge,Harrison,556,-70.62706757,44.08444595
03MO,Cahoochie,Urbana,1010,-93.13059235,37.88586807
03MU,McDonnell,Archie,874,-94.41239929,38.49203491
03N,Utirik,Utirik Island,4,169.8517456,11.22228813
03NC,Pilots Ridge,Carolina Beach,35,-77.90544891,34.10425568
03ND,Olafson Brothers,Edinburg,1045,-97.82926941,48.62639999
03NE,Hyde Ranch,Comstock,2399,-99.32984161,41.54690933
03NV,Llama Ranch,Ruby Valley,6120,-115.2973862,40.58571243
03NY,Talmage Fld,Riverhead,95,-72.71762085,40.95863724
03OH,Gibbs Field,Fremont,580,-83.01795959,41.41881943
03OK,Sahoma Lake,Sapulpa,890,-96.16155243,36.04097748
03OR,Powwatka Ridge,Troy,3340,-117.484581,45.85308456
03PS,Ziggy's Field,Bellefonte,1074,-77.90565491,40.84970856
03S,Sandy River,Sandy,698,-122.2286301,45.40161514
03TE,Barronena Ranch,Hebbronville,600,-98.66973114,27.49088478
03UT,A Z Minerals Corporation,Mexican Hat,5315,-109.9878616,37.11695099
03VA,Whipoorwill Springs,Nokesville,242,-77.57978821,38.664711
03WA,Spangle Field,Spangle,2440,-117.3725586,47.40900421
03WI,Zink,Berlin,821,-88.88328552,44.02875519
03WN,Aerostone Ranch,,2318,-120.6722717,45.87545776
03WY,Otter Creek Ranch,Ten Sleep,4670,-107.3394699,43.87405777
03XS,Creekside,Mertzon,2100,-100.7561493,31.31885147
04A,Frank Sikes,Luverne,294,-86.26246643,31.73641586
04AZ,Chinle,Chinle,5503,-109.5606384,36.14852524
04CA,Gray Butte Field,Palmdale,3020,-117.6707916,34.56666183
04CL,Hunt's Sky Ranch,Julian,2310,-116.4401321,33.08156967
04F,De Leon Muni,De Leon,1274,-98.52561951,32.09937668
04FA,Richards Field,Homestead,9,-80.51551056,25.56041908
04FL,Cross Creek Farms,Ormond,30,-81.2224884,29.2404232
04G,Lansdowne,Youngstown,1029,-80.61943817,41.13089752
04I,Columbus Southwest,Columbus,920,-83.18884277,39.91122437
04IA,Middlekoop,Packwood,801,-92.05867767,41.08770752
04ID,Lanham Field,Emmett,2343,-116.53936,43.87728882
04II,Turkey Run,New Haven,762,-84.99323273,41.13235855
04IL,Schertz Aerial Service - Hudson,Hudson,755,-89.0085144,40.63930893
04IS,Van Gorder,Mansfield,728,-88.5694809,40.17867279
04KY,Natchez Trace Farm,Hiseville,710,-85.78862762,37.13517761
04LL,Brunner,West Dundee,794,-88.28862762,42.13659286
04M,Calhoun County,Pittsboro,377,-89.34324646,33.93005753
04MA,Goddard,Haverhill,200,-71.14109802,42.81098557
04ME,Beech Hill,Mercer,625,-69.89556122,44.6684761
04MI,Rapids Airway,Eaton Rapids,880,-84.62947083,42.53431702
04MN,Helblad,Kelliher,1195,-94.68634796,47.98551178
04MO,Airpark Pvt,Vandalia,763,-91.44921875,39.30091095
04MS,Nick's Flying Service Inc,Rolling Fork,100,-90.83667755,32.94104767
04MT,Pluhar,Cohagen,2715,-106.4883575,47.13594818
04NE,McConnell Field,Sarben,3035,-101.2991333,41.15977097
04NJ,Emmanuel,Elmer,155,-75.23217773,39.59618378
04NV,Kingston Ranch,Sandy Valley,2620,-115.6503906,35.76151657
04NY,Klaverack,Hudson,250,-73.6980896,42.25838089
04OI,Herr Ii,Grand Rapids,662,-83.80005646,41.42047501
04OR,Collins Landing Strip,Mitchell,1500,-120.1636887,44.73313141
04PS,Schneiders Field,Revere,523,-75.17323303,40.51682663
04TN,Hensley Airpark,Chuckey,1430,-82.67843628,36.18466949
04TX,Pocock,China Spring,565,-97.36812592,31.73202705
04UT,Navajo Mountain,Navajo Mountain Trdng Post,6160,-110.7949905,37.00642014
04V,Saguache Mun,Saguache,7817,-106.1743774,38.09929657
04VG,Manquin Flight Park,Manquin,50,-77.20175934,37.70899582
04VT,Lightning Bolt Field,Hardwick,2156,-72.26327515,44.40091705
04W,Field Of Dreams,Hinckley,1015,-92.89518738,46.02290344
04WA,Ox Meadows,Spokane,2345,-117.4371414,47.58142471
04WI,Dutch Gap Airstrip,Bristol,760,-88.01870728,42.52394867
04WN,Stillwater Creek,Royal City,1510,-119.6385651,46.9583931
04WY,Thrush Ranch,Weston,3508,-105.3514328,44.83657837
04Y,Hawley Muni,Hawley,1205,-96.35063934,46.88379669
05A,Cascabel,Tucson,3343,-110.3643951,32.30066681
05AK,Wasilla Creek Airpark,Palmer,620,-149.1871948,61.66869354
05AR,Razorback,Fayetteville,1260,-94.15817261,36.1040802
05C,Griffith-Merrillville,Griffith,633,-87.39952087,41.51984787
05CL,Pope Valley,Pope Valley,618,-122.39151,38.61073685
05CO,Rancho De Aereo,Mead,4978,-104.9844437,40.21515274
05D,New Town Mun,New Town,1921,-102.4781113,47.9678688
05FA,Melanie's,Florala,295,-86.21906281,30.91884613
05FL,Charlton Strip,La Belle,36,-81.41024017,26.52022171
05GA,Raju,Richland,625,-84.71450043,32.07151794
05IA,Spotts Field,Nora Springs,1155,-93.06816864,43.13765717
05ID,Running Creek Ranch,Grangeville,2969,-114.8350067,45.91482544
05II,Reichhart,New Haven,788,-84.99552155,41.04015732
05IL,Classic Landings,Bonfield,635,-88.01720428,41.15645218
05IN,Cooper,Belleville,860,-86.50466919,39.6422081
05IS,Hardy,Mount Auburn,605,-89.26550293,39.72595596
05KS,Darbro Field,Elk City,945,-95.95902252,37.26599121
05KY,Berea-Richmond,Berea,994,-84.28295898,37.64480591
05LA,Greg's Flying Service,Baskin,76,-91.69792938,32.26518631
05LS,Grass Roots,Alexandria,83,-92.47534943,31.25264168
05MD,Breezecroft,Chestertown,20,-76.19866943,39.24423218
05ME,Drisko,Jonesboro,70,-67.55923462,44.65692139
05MT,Sportsmans Field,Ennis,4966,-111.7372665,45.35258865
05NE,McKay,Spalding,2010,-98.3088913,41.72153854
05NV,Baker Ranches,McGill,5180,-114.1002884,39.02195358
05OK,Hawk Haven,Crescent,1075,-97.56759644,35.85321045
05OR,Peacock Ranch,Enterprise,3500,-117.3471909,45.44509888
05PS,Mills Brothers,Burnt Cabins,1210,-77.86251831,40.14330292
05S,Vernonia Muni,Vernonia,648,-123.2433319,45.85223007
05TA,Brandes Air Field,Sealy,270,-96.26374817,29.80855942
05TE,Hilde-Griff Field,Georgetown,950,-97.79138184,30.72212601
05TN,Thurmond Glenn Fld,Covington,273,-89.55193329,35.55692291
05TS,Dew Drop,Justin,750,-97.36070251,33.12932205
05TX,Circle 'a' Ranch,Blum,608,-97.40479279,32.12924576
05U,Eureka,Eureka,5949,-116.0036163,39.60375214
05UT,Oljato,Oljato,4840,-110.3153229,37.03306198
05V,Blanca,Blanca,7708,-105.5527802,37.41114426
05VA,Providence,Farmville,445,-78.41847992,37.22380829
05W,Riverside Campground,Belhaven,1,-76.51560211,35.58073807
05WI,Ames Private,Darien,958,-88.74647522,42.65156937
05WN,Flat Creek Field,Kettle Falls,1570,-118.047966,48.7025032
05XS,Johnson Memorial,Wilmot,105,-91.56161499,33.07925797
05Y,Henning Muni,Henning,1448,-95.4425354,46.30461884
06A,Moton Field Muni,Tuskegee,264,-85.68005371,32.46046829
06AR,Bondair,Higden,499,-92.18457031,35.54408264
06C,Schaumburg Rgnl,Chicago/Schaumburg,801,-88.10125732,41.98934174
06CO,Jecan,Branson,5100,-103.6915359,37.38618088
06D,Rolla Mun,Rolla,1818,-99.62052155,48.88428879
06FA,Gwinn,Jupiter,28,-80.32841492,26.90816307
06IA,Rich Field,Walford,880,-91.83437347,41.84015274
06ID,Larkin,Kuna,2750,-116.3587189,43.46175003
06II,Bill Shank,Noblesville,765,-86.03829956,40.02552414
06IL,Humm,Earlville,708,-88.87081909,41.59935379
06IN,Ellis Fly-In,Blackhawk,570,-87.30614471,39.27684784
06IS,Sinele Strip,Nauvoo,695,-91.27644348,40.54653168
06M,Eupora,Eupora,435,-89.31308746,33.53484344
06MN,Pike Field,Virginia,1440,-92.41654968,47.65222549
06MO,Noahs Ark,Waldron,755,-94.80153656,39.23088455
06MT,Torgerson,Ethridge,3541,-112.1171494,48.55884171
06N,Randall,Middletown,511,-74.39155579,41.43194199
06NC,Tailwinds,St. Pauls,163,-78.92989349,34.8274498
06ND,Fitterer's Strip,Glen Ullin,2171,-101.6692963,46.74611664
06NH,Cole Farm,Kensington,160,-70.97406769,42.92997742
06NV,Silver Creek,McGill,5556,-114.1482391,39.09562683
06NY,Murphy Field,Auburn,1100,-76.43789673,42.83762741
06OH,Hal Joy Airfield,Williamsfield,1160,-80.59090424,41.50993347
06OI,Green Acres,New Lebanon,915,-84.38015747,39.7349472
06OR,Hayden Mountain,Forest Grove,846,-123.0797806,45.46462631
06PA,Ceres,Ceres,1440,-78.28826141,41.99578476
06R,Grawunder Field,Bellville,264,-96.2452774,29.94093895
06TA,Glaser Field,Buckholts,480,-97.11804962,30.91155624
06TE,Cavok Airpark,Cleveland,129,-95.02723694,30.31295395
06TN,Hunter,Columbia,640,-86.95753479,35.69713211
06TS,Roscoe McConnico,Kerens,350,-96.17998505,32.12137222
06TX,Diamond N Ranch,Hockley,215,-95.81230927,30.05844498
06U,Jackpot/Hayden Field,Jackpot,5199,-114.6579971,41.97581482
06VA,Mount Horeb Field,Grottoes,1160,-78.86022186,38.25105667
06VT,Meadowlands,Manchester,665,-73.07705688,43.13349915
06WI,Young Private,Frederic,1075,-92.45490265,45.66590881
06WN,Western,Yelm,390,-122.5530624,46.92498779
06XA,J & W Windy Hill,Van Alstyne,784,-96.57067871,33.44595337
06XS,Campbell Field,Aubrey,546,-97.04495239,33.32294083
06Y,Herman Muni,Herman,1061,-96.16064453,45.82972336
07A,Franklin,Union Springs,296,-85.80976868,32.16622543
07AR,Morrilton,Morrilton,300,-92.80214691,35.19438934
07B,Blue Hill,Blue Hill,348,-68.56968689,44.44804382
07CL,Richvale,Richvale,100,-121.7708054,39.49780273
07CO,Commanche Creek,Kiowa,6620,-104.4268494,39.26366425
07D,Tackaberry,Avoca,767,-82.72387695,43.06446075
07F,Gladewater Muni,Gladewater,292,-94.97171783,32.52868271
07FA,Ocean Reef Club,Key Largo,4,-80.27576447,25.32434082
07GA,Alcovy,Covington,750,-83.76473999,33.67431259
07IA,Laurens Skyways,Laurens,1308,-94.86533356,42.82865524
07ID,Shepard Strip,Malta,2305,-116.9979935,48.14923859
07IN,Gray,Boggstown,750,-85.91429901,39.57346344
07K,Central City Muni - Larry Rein,Central City,1715,-98.0513382,41.11155701
07KS,Heape Field,Augusta,1321,-96.93675232,37.73321915
07KY,Blue Lick,Louisville,532,-85.6930542,38.08031845
07MD,Baugher's Orchard,Westminster,700,-77.04795837,39.6092186
07MI,Scott Airstrip,Lake,1065,-85.02547455,43.86423492
07MN,Dairyview,Hadley,1680,-95.90904236,44.0530777
07MO,Lake Sexton,Warrensburg,880,-93.62436676,38.65556717
07MT,Glasgow Industrial,Glasgow,2756,-106.5277023,48.42110443
07N,Bermudian Valley,Kralltown,470,-77.00401306,40.01674652
07NC,Hawks Meadow,Waxhaw,625,-80.7503891,34.83253098
07ND,Backfisch Strip,Golden Valley,1868,-102.0652237,47.15613556
07OK,Pleasant Valley,Snyder,1322,-99.03437805,34.63419342
07PA,Dieters,Cherryville,724,-75.53282928,40.75831985
07PN,Folmar,Troy,1690,-78.12748718,41.00009155
07R,Bishop Muni,Bishop,52,-97.75254059,27.61015511
07S,Beaumont Hotel,Beaumont,1600,-96.5279007,37.65917587
07SN,Churchill,Phillipsburg,1963,-99.364151,39.77448273
07TE,Cuddihy Field,Corpus Christi,39,-97.51151276,27.72089958
07TN,Corntassel,Vonore,970,-84.23685455,35.57087708
07TS,Cross-Country Estates,Georgetown,690,-97.57131195,30.62534332
07UT,Atk/Thiokol,Tremonton,4480,-112.4466629,41.71409225
07V,Cuchara Valley At La Veta,La Veta,7106,-105.0092773,37.52383804
07VA,Alpha Hotel,Clover,420,-78.76581573,36.819767
07VT,Meadow,Jericho,801,-72.91640472,44.44538498
07WI,Bartell Strip,Genessee Depot,994,-88.3919754,42.96406937
07WY,Stallions,Broadus,4074,-106.1062012,44.96030426
07Y,Hill City-Quadna Mountain,Hill City,1280,-93.59746552,46.95588684
08A,Wetumpka Muni,Wetumpka,196,-86.33109283,32.52727509
08AR,Capps,England,230,-91.9684906,34.58421707
08B,Merrymeeting Field,Bowdoinham,59,-69.88710785,44.00000763
08C,Riverview,Jenison,603,-85.80567932,42.93669128
08CL,Kistler Ranch,Jamestown,1025,-120.5544815,37.85827637
08CO,Terra Firma,Rush,5600,-104.0485992,38.73456955
08D,Stanley Muni,Stanley,2242,-102.4067688,48.30088806
08F,City Of Coalgate,Coalgate,615,-96.23310852,34.52953339
08FA,Duda Airstrip,La Belle,35,-81.48931122,26.58007622
08FD,Sunniland Ranch,Okeechobee,65,-80.77261353,27.36282349
08FL,J. H. Hendrie Farms,Lake Placid,103,-81.32752991,27.08724785
08GA,Sapelo Island,Darien,12,-81.28461456,31.42665863
08IA,Vermeer,Pella,872,-92.88356781,41.41260147
08ID,Symms,Marsing,2680,-116.7767563,43.56919479
08IL,Harms Airstrip,Tampico,631,-89.79566193,41.57655716
08IN,Whybrew Fld,Fortville,858,-85.84755707,39.91648865
08IS,Hemmer Rla,Du Quoin,401,-89.2032547,37.97785568
08K,Harvard State,Harvard,1809,-98.07992554,40.6513176
08KS,Alderson,Bennington,1225,-97.58002472,39.03436279
08KY,Boss,Burnside,820,-84.62757874,36.97318649
08LL,Sauer,Dwight,665,-88.4886322,41.07455063
08LS,Aeleron,Sunset,51,-92.03334808,30.40872192
08M,Carthage-Leake County,Carthage,451,-89.53039551,32.76160431
08ME,Lindbergh,Avon,554,-70.34851074,44.81549072
08MO,Twin Oaks,Jasper,955,-94.28419495,37.39488983
08MS,Williams Field,Coldwater,300,-89.86980438,34.66150665
08MT,Clark,Grassrange,3450,-108.807312,47.06554031
08N,Keller Brothers,Lebanon,542,-76.32881165,40.29150009
08NC,Heathwood Farm,Lewisville,750,-80.46530914,36.06877899
08ND,Brecht Strip,Golden Valley,1990,-102.097496,47.32624817
08NE,Laurel Municipal,Laurel,1467,-97.07853699,42.43039703
08NR,Bell Mountain,Flat Rock,2150,-82.42593384,35.21756363
08OH,Kenley,Hartford,1230,-80.56440735,41.29182816
08OK,Parks,Wilburton,635,-95.25848389,34.93130112
08OR,Saxon Sycan,Silver Lake,4990,-121.11689,42.84091568
08R,Richmond,West Kingston,129,-71.62086487,41.4895134
08TE,B. J. McCombs Sisterdale,Comfort,1432,-98.74258423,29.97568703
08TS,Puesta Del Sol,La Gloria,420,-98.50505829,26.88224983
08TX,Cross Wind,Weatherford,1040,-97.74773407,32.85786438
08U,Stevens-Crosby,North Fork,6379,-115.858078,41.51561356
08VA,Springwood Airstrip,Buchanan,1000,-79.74860382,37.55381393
08WI,Pierick,Highland,1216,-90.35608673,43.04361725
08XA,Knolle Ranch,Somerville,280,-96.50377655,30.47917938
08XS,Peterson,Old Ocean,45,-95.77528381,29.1106472
09A,Butler-Choctaw Co,Butler,124,-88.12745667,32.11933136
09AZ,Stronghold,St David,4970,-110.0394669,31.92512321
09C,Austin Lake,Kalamazoo,864,-85.54601288,42.16365051
09CL,Alta Sierra,Grass Valley,2243,-121.055191,39.11206055
09CO,Cottonwood Field,Swink,4180,-103.6535721,38.05555725
09FA,Placid Lakes,Lake Placid,130,-81.41332245,27.24534416
09FD,Cheryl-Lane Landings,Bushnell,71,-82.08647156,28.6720829
09FL,Sunnybreeze,Arcadia,60,-81.96941376,27.05589104
09GA,Sunbelt Strip,Moultrie,230,-83.68330383,31.11208534
09IA,Skydive Iowa,Brooklyn,820,-92.41150665,41.74544525
09ID,Taylor Ranch Landing Area,Moscow,3835,-114.85569,45.1036911
09II,Gibbons Field,Valeene,823,-86.44361115,38.44710159
09IN,Gordon,Columbia City,850,-85.42505646,41.12212753
09J,Jekyll Island,Jekyll Island,11,-81.42779541,31.07448387
09K,Sargent Mun,Sargent,2306,-99.34216309,41.63492584
09KS,Coffman,Wellsville,970,-95.14134216,38.70569992
09LL,Pine Hill,Capron,1000,-88.74365997,42.46678162
09M,Charleston Mun,Charleston,174,-90.07855988,33.99132156
09MA,Kallander Field,Southborough,317,-71.50546265,42.30511475
09ME,Perrotti Skyranch Airfield,Berwick,260,-70.85249329,43.33887863
09MN,W Johnson Field,Hazel Run,1055,-95.6671524,44.77344894
09MO,Hogue Farm,Willard,1210,-93.36418915,37.37942123
09MT,N Bar Ranch,Grassrange,4412,-108.936882,46.83807755
09N,Airhaven,Staatsburg,430,-73.87610626,41.8325119
09NC,William Irving Lewis,Broadway,310,-79.03250885,35.32892227
09NE,Summer Hill Farm,Bennington,1272,-96.19210052,41.33224487
09NR,Dakota Air Ranch,Ramseur,561,-79.64967346,35.6501236
09OH,Pine Acres,Hopedale,1231,-80.90437317,40.34987259
09OK,Ragtime Aerodrome,Collinsville,700,-95.86355591,36.35492706
09PA,Eagle Field,Port Matilda,1780,-77.99401093,40.82354355
09R,Tyler Co,Woodville,388,-94.45882416,30.7748127
09S,Sullivan Lake State,Metaline Falls,2612,-117.283989,48.84085083
09T,Lazy G Bar Ranch,Decatur,924,-97.49668121,33.28133011
09TA,Rockin 7 Ranch,Franklin,450,-96.43878937,31.16214752
09TE,Running M Ranch,Glen Rose,787,-97.86379242,32.26335144
09TS,Pitcock Rosillos Mountain Ranch,Marathon,3100,-103.1629944,29.48259735
09TX,Smokey Mtn Ranch,Sheffield,2522,-102.0267181,30.73735237
09WI,Parkway Farm Strip,Holmen,705,-91.30735779,44.00360107
0A2,Hester Meml,Calhoun Falls,500,-82.56509399,34.0905304
0A3,Smithville Mun,Smithville,1081,-85.80912018,35.98544693
0A4,Johnson City,Johnson City,1550,-82.30916595,36.36361694
0A7,Hendersonville,Hendersonville,2084,-82.43275452,35.30815125
0A8,Bibb Co,Centreville,245,-87.09055328,32.93695831
0A9,Elizabethton Muni,Elizabethton,1570,-82.17273712,36.37158203
0AA1,Yakataga,Yakataga,11,-142.4953003,60.08075333
0AA4,Farewell,Farewell,1489,-153.8930359,62.50645447
0AA5,Rangeview Airstrip,Y,470,-150.3343964,62.31044769
0AK,Pilot Station,Pilot Station,463,-162.8995514,61.93455124
0AK0,Scotts,North Pole,800,-146.8617096,64.39208984
0AK1,Anderson Lake,Wasilla,463,-149.3210297,61.61694336
0AK2,Cape Simpson,Cape Simpson,11,-154.7380066,71.05806732
0AK3,Parker Lake,Montana Creek,250,-150.4911804,62.03489304
0AK7,Bradley Lake Hydroelectri Project Airstrip,Homer,18,-150.9639435,59.77593613
0AK9,Falcon Lake Strip,Anchorage,110,-150.058548,61.33352661
0AL1,Resort,Foley,97,-87.65383911,30.44343185
0AL5,Flomaton,Flomaton,247,-87.25248718,31.03151703
0AL9,Wilson Creek,Florence,590,-87.63330078,34.85056305
0AR1,Hooterville South,Centerville,359,-93.19715118,35.11539459
0AR2,Mission Field-Marotti Memorial,Crawfordsville,217,-90.35016632,35.2672348
0AR3,Taylor's Air Strip,Deer,2160,-93.25975037,35.89882278
0AR7,Yancopin,Watson,153,-91.17507172,33.94860077
0AZ1,Taylor Field,Marana,2130,-111.3238373,32.30218506
0AZ2,Western Sky,Salome,1930,-113.6406631,33.7782402
0AZ4,Flying Bucket Ranch,Mobile,1505,-112.2871628,32.98154449
0AZ5,Castle Well,Morristown,2080,-112.6031952,33.86561966
0B1,Bethel Regl,Bethel,665,-70.80995178,44.4251709
0B2,Brewer,Brewer,122,-68.76784515,44.76382446
0B4,Hartington Muni/ Bud Becker Fl,Hartington,1378,-97.25385284,42.60290146
0B5,Turners Falls,Montague,354,-72.522995,42.59160995
0B7,Warren-Sugarbush,Warren,1446,-72.827034,44.11737442
0B8,Elizabeth Field,Fishers Island,5,-72.03168488,41.25217819
0C0,Dacy,Harvard,911,-88.63079071,42.40346527
